File, Count, Channel, Segment, Bin, Value
Feedback001, 1, EMG_Zygo_RMS, 7, 13, -9.91216E-03
Feedback001, 1, EMG_Zygo_RMS, 7, 14, -9.905376E-03
Feedback001, 1, EMG_Corr_RMS, 8, 1, 1.290403E-04
Feedback001, 1, EMG_Corr_RMS, 8, 2, -4.187974E-04
Feedback001, 1, EMG_Corr_RMS, 8, 3, 0
Feedback001, 1, EMG_Corr_RMS, 8, 4, 2.507732E-03
Feedback001, 1, EMG_Corr_RMS, 8, 5, 3.884697E-03
Feedback001, 1, EMG_Corr_RMS, 8, 6, -8.175964E-05
Feedback001, 1, EMG_Corr_RMS, 8, 7, -6.298232E-05
Feedback001, 1, EMG_Corr_RMS, 8, 8, -6.255244E-04
Feedback001, 1, EMG_Corr_RMS, 8, 9, -2.574986E-04
Feedback001, 1, EMG_Corr_RMS, 8, 10, -3.658014E-04
Feedback001, 1, EMG_Corr_RMS, 8, 11, 5.146465E-05
Feedback001, 1, EMG_Corr_RMS, 8, 12, -3.675998E-04
Feedback001, 1, EMG_Corr_RMS, 8, 13, -5.362867E-04
Feedback001, 1, EMG_Corr_RMS, 8, 14, -3.212318E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 1, 1.541739E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 2, -5.223993E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 8, 4, 2.883863E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 5, 7.957704E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 6, 4.268682E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 7, -1.781928E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 8, -1.488093E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 9, -6.741136E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 10, -5.740686E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 11, -1.682723E-04
Feedback001, 1, EMG_Zygo_RMS, 8, 12, -1.429578E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 13, -1.292423E-03
Feedback001, 1, EMG_Zygo_RMS, 8, 14, -1.450271E-03
Feedback001, 1, EMG_Corr_RMS, 9, 1, -4.170503E-04
Feedback001, 1, EMG_Corr_RMS, 9, 2, -1.76941E-04
Feedback001, 1, EMG_Corr_RMS, 9, 3, 0
Feedback001, 1, EMG_Corr_RMS, 9, 4, 9.153548E-04
Feedback001, 1, EMG_Corr_RMS, 9, 5, 3.973129E-03
Feedback001, 1, EMG_Corr_RMS, 9, 6, 1.655094E-03
Feedback001, 1, EMG_Corr_RMS, 9, 7, -3.141834E-04
Feedback001, 1, EMG_Corr_RMS, 9, 8, -6.372681E-04
Feedback001, 1, EMG_Corr_RMS, 9, 9, 7.63451E-04
Feedback001, 1, EMG_Corr_RMS, 9, 10, 2.003384E-04
Feedback001, 1, EMG_Corr_RMS, 9, 11, 1.218147E-05
Feedback001, 1, EMG_Corr_RMS, 9, 12, 3.543869E-05
Feedback001, 1, EMG_Corr_RMS, 9, 13, -3.358469E-04
Feedback001, 1, EMG_Corr_RMS, 9, 14, 1.241126E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 1, -8.242793E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 2, -3.814177E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 9, 4, -2.813954E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 5, 7.673475E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 6, 4.175099E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 7, 5.286257E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 8, 1.029255E-03
Feedback001, 1, EMG_Zygo_RMS, 9, 9, 3.085181E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 10, 3.14587E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 11, -0.0004412
Feedback001, 1, EMG_Zygo_RMS, 9, 12, 6.829808E-05
Feedback001, 1, EMG_Zygo_RMS, 9, 13, -2.711163E-04
Feedback001, 1, EMG_Zygo_RMS, 9, 14, -5.272068E-04
Feedback001, 1, EMG_Corr_RMS, 10, 1, -1.09917E-05
Feedback001, 1, EMG_Corr_RMS, 10, 2, -9.02842E-04
Feedback001, 1, EMG_Corr_RMS, 10, 3, 0
Feedback001, 1, EMG_Corr_RMS, 10, 4, 2.695713E-06
Feedback001, 1, EMG_Corr_RMS, 10, 5, -5.073706E-04
Feedback001, 1, EMG_Corr_RMS, 10, 6, -5.819977E-04
Feedback001, 1, EMG_Corr_RMS, 10, 7, -7.704729E-04
Feedback001, 1, EMG_Corr_RMS, 10, 8, -7.082922E-04
Feedback001, 1, EMG_Corr_RMS, 10, 9, -3.221855E-04
Feedback001, 1, EMG_Corr_RMS, 10, 10, -3.898987E-04
Feedback001, 1, EMG_Corr_RMS, 10, 11, -6.073609E-04
Feedback001, 1, EMG_Corr_RMS, 10, 12, 2.889335E-03
Feedback001, 1, EMG_Corr_RMS, 10, 13, -5.599835E-04
Feedback001, 1, EMG_Corr_RMS, 10, 14, -1.180626E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 1, -1.282518E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 2, -4.348797E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 3, 0
Feedback001, 1, EMG_Zygo_RMS, 10, 4, 6.092845E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 5, 7.416608E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 6, 1.920336E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 7, -8.084045E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 8, -3.626363E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 9, -7.165992E-05
Feedback001, 1, EMG_Zygo_RMS, 10, 10, 1.528857E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 11, 3.610302E-04
Feedback001, 1, EMG_Zygo_RMS, 10, 12, 8.772978E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 13, 1.87861E-03
Feedback001, 1, EMG_Zygo_RMS, 10, 14, 3.079376E-04
Feedback001, 1, EMG_Corr_RMS, 11, 1, 2.479099E-04
Feedback001, 1, EMG_Corr_RMS, 11, 2, 1.879975E-04
Feedback001, 1, EMG_Corr_RMS, 11, 3, 0
Feedback001, 1, EMG_Corr_RMS, 11, 4, 9.524915E-05
Feedback001, 1, EMG_Corr_RMS, 11, 5, 6.342931E-04
Feedback001, 1, EMG_Corr_RMS, 11, 6, 4.572124E-03
Feedback001, 1, EMG_Corr_RMS, 11, 7, 2.460213E-03
Feedback001, 1, EMG_Corr_RMS, 11, 8, 1.348733E-03
Feedback001, 1, EMG_Corr_RMS, 11, 9, 3.799598E-04
Feedback001, 1, EMG_Corr_RMS, 11, 10, 5.813437E-04
Feedback001, 1, EMG_Corr_RMS, 11, 11, -3.41809E-04
Feedback001, 1, EMG_Corr_RMS, 11, 12, 3.686249E-04
Feedback001, 1, EMG_Corr_RMS, 11, 13, -3.960935E-04
